7,8,9,12,13,14,18,19,21
205544.945987654,0,0,14665.7378472222,-20384.9729938272,0,3057.74594907407,-31520.4234182099,0
0,40685.1851851852,0,0,0,7119.9074074074,0,-28988.1944444444,0
0,0,31286.9074074074,7580.15856481482,17723.4837962963,0,1955.43171296296,0,1713.86342592593
14665.7378472222,0,7580.15856481482,23465.1805555555,3057.74594907407,0,1713.86342592593,3057.74594907407,1955.43171296296
-20384.9729938272,0,17723.4837962963,3057.74594907407,102772.472993827,0,0,-9673.32658179012,3057.74594907407
0,7119.9074074074,0,0,0,20342.5925925926,0,-6102.77777777778,0
3057.74594907407,0,1955.43171296296,1713.86342592593,0,0,7821.72685185185,8861.74189814815,2812.36342592593
-31520.4234182099,-28988.1944444444,0,3057.74594907407,-9673.32658179012,-6102.77777777778,8861.74189814815,102772.472993827,0
0,0,1713.86342592593,1955.43171296296,3057.74594907407,0,2812.36342592593,0,7821.72685185185
