fck [Mpa];fctm [Mpa];fctk005 [Mpa];Ecm [Gpa];fi [mm];A [cm2];m [kg/m];KlaseIzlozenosti
12;1.6;1.1;27;6;0.283;0.222;x0
16;1.9;1.3;29;8;0.503;0.395;xc1
20;2.2;1.5;30;10;0.785;0.617;xc2
25;2.6;1.8;31;12;1.13;0.888;xc3
30;2.9;2;33;14;1.54;1.21;xc4
35;3.2;2.2;34;16;2.01;1.58;xd1
40;3.5;2.5;35;20;3.14;2.47;xd2
45;3.8;2.7;36;25;4.91;3.85;xs1
50;4.1;2.9;37;28;6.16;4.83;xs2
55;4.2;3;38;32;8.04;6.31;xs3
60;4.4;3.1;39;40;12.57;9.86;
70;4.6;3.2;41;50;19.63;15.41;
80;4.8;3.4;42;;;;
90;5;3.5;44;;;;
